provider,code,message_zh,message_en,category,solution
SmilePay,-10022,[開立發票] 統一編號不可捐贈(DonateMark)必須為0 / [開立折讓單] 商品各項目數量不符,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10023,[開立發票] 統一編號(Buyer_id)內容錯誤 / [開立折讓單] 商品明細(Description)參數異常,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10024,[開立發票] 統一編號(Buyer_id)不可使用其他載具(CarrierType) / [開立折讓單] 數量明細(Quantity)參數異常,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10025,[開立發票] 缺少公司名稱(CompanyName) / [開立折讓單] 單價明細(UnitPrice)金額異常,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10031,[開立發票] 缺少開立日期(InvoiceDate、InvoiceTime) / [開立折讓單] 超過可折讓金額,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10032,[開立發票] 日期格式(InvoiceDate、InvoiceTime)錯誤 / [開立折讓單] 折讓單號碼(AllowanceNumber)不可重複,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10033,B2C開立需再48hr內,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10034,B2B開立需再168hr內,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10041,發票類別(Intype)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10042,買受人註記欄(BuyerRemark)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10043,通關方式註記(CustomsClearanceMark),,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10044,捐贈註記(DonateMark)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10045,愛心碼(LoveKey)空白,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10046,愛心碼伺服器異常,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10047,查無此愛心碼(LoveKey),,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10048,課稅別(TaxType)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10049,買受人簽署適用零稅率註記(BondedAreaConfirm)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-100410,總備註(MainRemark)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-100411,相關號碼(RelateNumber)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-100412,零稅率原因(ZeroTaxRateReason)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10051,手機號碼(Phone)格式錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10052,載具號碼(CarrierID)錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10053,查無載具號碼(CarrierID),,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10054,"缺少建立載具參數,Email/Phone參數",,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10055,建立載具失敗,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10056,查無手機條碼(CarrierID),,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10057,自然人憑證(CarrierID)格式錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10058,載具類型(CarrierType)非允許使用的,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10061,商品各項目數量不符,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10062,"內容長度不正確(單一品項)；品名(Description)：256個字,不可空白；單位(Unit)：6個字,可空白；商品備註(Remark)：40個字,可空白",,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10063,商品數量(Quantity)內容錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10064,商品金額(UnitPrice、Amount)內容錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10065,商品小計(UnitPrice、Amount)驗算錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10066,商品總金額(AllAmount)驗算錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10067,商品與總金額(ALLAmount)不符合規定,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10068,混合稅率銷售額明細(SalesAmount、FreeTaxSalesAmount)內容錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10069,稅金(TaxAmount)與未稅銷售額(SalesAmount)驗算錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-100610,稅率(TaxRate)內容錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-100611,產品稅率(ProductTaxType)內容誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10071,無可用字軌,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10072,自訂發票編號 (data_id)重複,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10073,營業人自定義系統代號(PosSystemID)格式錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10081,信用卡末四碼(Visa_Last4)格式錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10082,發票證明聯備註(Certificate_Remark)格式錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10083,自訂發票編號(data_id)格式錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10084,自訂號碼(orderid)格式錯誤,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2001,[開立發票] (InvoiceNumber)格式錯誤 / [作廢/註銷] 缺少發票號碼(InvoiceNumber)或作廢原因(CancelReason),,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2002,[開立發票] (RandomNumber)格式錯誤 / [作廢/註銷] 作廢原因(CancelReason)超過字數,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2003,[開立發票] (InvoiceNumber)不可重複 / [作廢/註銷] 專案作廢核准文號(ReturnTaxDocumentNumber)超過字數,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-1002,[開立折讓單] 發票號碼(InvoiceNumber)錯誤 / [作廢/註銷] 服務類型錯誤,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10026,稅金明細(TaxType)參數異常,,開立折讓單,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10027,稅率明細(Tax)參數異常,,開立折讓單,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10028,折讓日期(AllowanceDate)參數異常,,開立折讓單,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-1003,查無此筆發票,,開立折讓單,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-1000,商家帳號缺少參數,,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2004,備註(Remark)超過字數,,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2005,缺少發票號碼(InvoiceNumber)或註銷原因(VoidReason),,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2006,註銷原因(VoidReason)超過字數,,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2007,缺少折讓單號碼(AllowanceNumber)或作廢原因(CancelReason),,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2008,發票目前狀態不允許執行該動作,,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2009,發票有折讓紀錄不允許執行該動作,,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-2010,查無該筆發票/折讓單,,作廢/註銷,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
Amego,0,成功,,success,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,10,系統停機維護中,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,11,invoice(統編)不可為空,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,12,invoice(統編)錯誤,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,13,status 未啟用,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,14,IP 錯誤,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,15,Time 錯誤,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,16,簽名驗證錯誤,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,17,資料不可為空,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,18,無法建立資料庫連線,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,19,公司停權，無法使用 API 開立發票,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,20,data 非 JSON 字串格式,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,21,人數過多，請稍後,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,22,尚未申請 API 串接,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,23,此 API 支援傳輸多筆資料，data 欄位資料應為陣列字串,,通用,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040111,字軌不足,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040112,此 API 只支援傳輸單張發票，data 欄位資料應為物件字串,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040121,BuyerIdentifier 字數錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040122,BuyerIdentifier 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040123,BuyerName 不可為空或過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040124,BuyerAddress 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040125,BuyerTelephoneNumber 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040126,BuyerEmailAddress 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040127,MainRemark 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040128,CarrierType 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040129,CarrierId1 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040130,CarrierId2 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040131,載具顯碼、隱碼不相符,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040132,載具號碼不存在,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040133,載具顯碼、隱碼不相符,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040134,CarrierId1 載具顯碼錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040135,載具顯碼或隱碼不可為空,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040136,NPOBAN 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040137,NPOBAN 不存在,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040138,ProductItem 不可為空或過多,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040139,第n品項 Description 不可為空或過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040140,第n品項 Quantity 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040141,第n品項 UnitPrice 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040142,第n品項 Amount 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040143,第n品項 Remark 過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040144,第n品項 TaxType 錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040145,SalesAmount 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040146,FreeTaxSalesAmount 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040147,ZeroTaxSalesAmount 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040148,TaxType 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040149,TaxRate 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040150,TaxAmount 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040151,TotalAmount 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040152,TotalAmount 不可為負數,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040153,OrderId 不可為空或過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040154,載具類別不可為空,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040155,載具類別應為6碼,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040160,BrandName 不可為空或過長,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040161,DetailVat 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040162,只有打統編發票， 才可以用未稅單價及小計,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040163,DetailAmountRound 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040171,OrderId 重複 / OrderId 重複，該訂單編號正在註銷重開中,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040172,第n品項 Amount 金額錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040173,TaxType 設定錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040174,SalesAmount 計算錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040175,ZeroTaxSalesAmount 計算錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040176,FreeTaxSalesAmount 計算錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040177,TaxAmount 計算錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040178,TotalAmount 計算錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040179,若為零稅率發票，通關方式註記必填,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040180,通關方式註記錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040181,SalesAmount 不應該為負數,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040182,ZeroTaxSalesAmount 不應該為負數,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040183,FreeTaxSalesAmount 不應該為負數,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040184,TotalAmount 不應該為負數,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040191,無法取得下一張發票,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040192,取得發票列印格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3040193,TaxAdjustment 格式錯誤,,發票-開立發票(自動配號),見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050111,第n筆 CancelInvoiceNumber 錯誤,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050112,此 API 支援傳輸多張發票，data 欄位資料應為陣列字串,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050113,第n筆 CancelReason 超過 20 字,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050121,指定發票號碼 開立中,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050122,指定發票號碼 已存在開立作廢,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050123,指定發票號碼 已存在註銷,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050124,指定發票號碼 發票類型錯誤,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050125,指定發票號碼 發票不存在,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050126,指定發票號碼 已超過修改期限,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050131,指定發票號碼 等待 開立/作廢/註銷,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
Amego,3050141,指定發票號碼 已存在折讓單,,發票-作廢發票,見光貿 API 錯誤代碼（invoice.amego.tw/info_detail?mid=71）
