provider,code,message_zh,message_en,category,solution
ECPay,1,成功,Success,success,其他代碼一律視為失敗，並記錄 RtnMsg
ECPay,4000003,延後開立成功,Delayed issue accepted,延後開立,僅表示已排程；實際開立結果需等通知或以查詢 API 確認（developers.ecpay.com.tw/15371）
ECPay,10000002,必填欄位遺漏（如 Phone/Email 皆未填，或 Items 格式錯誤）,Required field missing,開立,綠界官方 ecpay-api-skill guides/04-invoice-b2c
ECPay,10000009,RelateNumber 重複（同一帳號不可重用）,Duplicate RelateNumber,開立,改用新的 RelateNumber；綠界官方 ecpay-api-skill guides/04-invoice-b2c
ECPay,1500047,字軌問題：當期字軌未新增、未啟用或號碼已用罄,Invoice track unavailable,開立,廠商後台→電子發票系統→資料管理與維護→字軌與配號設定；官方附錄「錯誤代碼一覽表」（developers.ecpay.com.tw/7954）
ECPay,5070350,字軌問題：當期字軌未新增、未啟用或號碼已用罄,Invoice track unavailable,開立,廠商後台→電子發票系統→資料管理與維護→字軌與配號設定；官方附錄「錯誤代碼一覽表」（developers.ecpay.com.tw/7954）
ECPay,1200125,統一編號檢查碼驗證失敗,Tax ID checksum failed,檢查統一編號,停止開立並確認統編；官方文件「檢查統一編號」回應代碼表（developers.ecpay.com.tw/32089）
ECPay,2027000,統一編號格式錯誤（長度非 8 碼）,Tax ID format error,檢查統一編號,停止開立並確認統編長度；官方文件「檢查統一編號」回應代碼表（developers.ecpay.com.tw/32089）
ECPay,9000001,呼叫財政部 API 失敗,MOF API call failed,檢查統一編號／手機條碼驗證,財政部系統維護或異常，暫時無法驗證；統編檢核不影響發票開立，手機條碼請稍後再驗（developers.ecpay.com.tw/32089、7886）
ECPay,4000004,開立發票成功（觸發開立，DelayDay=0）,Invoice issued (trigger issue),延後開立,觸發開立 API 的成功碼不是 1：DelayDay>0 回 4000003、DelayDay=0 回 4000004，其餘為失敗（developers.ecpay.com.tw/15371）
ECPay,7,統一編號查無資料,Tax ID not found,檢查統一編號,少數統編未在公開資料揭露，不影響發票開立，可繼續開立（developers.ecpay.com.tw/32089）
ECPay,10100058,發票作業逾時,Invoice operation timeout,callback,同一代碼在 AIO 金流為「ATM 繳費期限已過」，依收到 callback 的服務判斷；綠界官方 ecpay-api-skill guides/20-error-codes-reference
SmilePay,0,開立成功,,success,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-1001,[開立發票] 商家帳號缺少參數 / [開立折讓單] 商家帳號缺少參數 / [作廢/註銷] 查無商家帳號,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10011,[開立發票] 查無商家帳號 / [開立折讓單] 查無商家帳號,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10012,尚未開放B2B功能,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10013,尚未開放B2C功能,,開立發票,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
SmilePay,-10021,[開立發票] 統一編號(Buyer_id)格式錯誤 / [開立折讓單] 商品不可空白,,多個 API,見 references/SMILEPAY_API_REFERENCE.md「回應代號說明」（速買配官方文件，原始 PDF 未存檔）
